May  9 12:39:01 iv-splv-link CRON[17924]: pam_unix(cron:session): session closed for user root
May  9 13:09:01 iv-splv-link CRON[17964]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 13:09:01 iv-splv-link CRON[17964]: pam_unix(cron:session): session closed for user root
May  9 13:17:01 iv-splv-link CRON[18000]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 13:17:01 iv-splv-link CRON[18000]: pam_unix(cron:session): session closed for user root
May  9 13:39:01 iv-splv-link CRON[18008]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 13:39:01 iv-splv-link CRON[18008]: pam_unix(cron:session): session closed for user root
May  9 14:09:01 iv-splv-link CRON[18048]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 14:09:01 iv-splv-link CRON[18048]: pam_unix(cron:session): session closed for user root
May  9 14:17:01 iv-splv-link CRON[18083]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 14:17:01 iv-splv-link CRON[18083]: pam_unix(cron:session): session closed for user root
May  9 14:39:01 iv-splv-link CRON[18093]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 14:39:01 iv-splv-link CRON[18093]: pam_unix(cron:session): session closed for user root
May  9 15:09:01 iv-splv-link CRON[18134]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 15:09:01 iv-splv-link CRON[18134]: pam_unix(cron:session): session closed for user root
May  9 15:17:01 iv-splv-link CRON[18169]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 15:17:01 iv-splv-link CRON[18169]: pam_unix(cron:session): session closed for user root
May  9 15:39:01 iv-splv-link CRON[18176]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 15:39:01 iv-splv-link CRON[18176]: pam_unix(cron:session): session closed for user root
May  9 16:09:01 iv-splv-link CRON[18216]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 16:09:01 iv-splv-link CRON[18216]: pam_unix(cron:session): session closed for user root
May  9 16:17:01 iv-splv-link CRON[18252]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 16:17:01 iv-splv-link CRON[18252]: pam_unix(cron:session): session closed for user root
May  9 16:39:01 iv-splv-link CRON[18260]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 16:39:01 iv-splv-link CRON[18260]: pam_unix(cron:session): session closed for user root
May  9 17:09:01 iv-splv-link CRON[18300]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 17:09:01 iv-splv-link CRON[18300]: pam_unix(cron:session): session closed for user root
May  9 17:17:01 iv-splv-link CRON[18336]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 17:17:01 iv-splv-link CRON[18336]: pam_unix(cron:session): session closed for user root
May  9 17:39:01 iv-splv-link CRON[18343]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 17:39:01 iv-splv-link CRON[18343]: pam_unix(cron:session): session closed for user root
May  9 18:09:01 iv-splv-link CRON[18383]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 18:09:01 iv-splv-link CRON[18383]: pam_unix(cron:session): session closed for user root
May  9 18:17:01 iv-splv-link CRON[18420]: pam_unix(cron:session): session opened for user root by (uid=0)
